"Domain"	"Country"	"Item"	"Element"	"Year"	"Value"
"Livestock Primary"	"Bahamas"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"5252.0"
"Livestock Primary"	"Bahamas"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"5450.0"
"Livestock Primary"	"Bahrain"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"546.0"
"Livestock Primary"	"Bahrain"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"4200.0"
"Livestock Primary"	"Bangladesh"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"231942.0"
"Livestock Primary"	"Bangladesh"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"234000.0"
"Livestock Primary"	"Barbados"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"12108.0"
"Livestock Primary"	"Barbados"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"11600.0"
"Livestock Primary"	"Belarus"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"224067.0"
"Livestock Primary"	"Belarus"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"238000.0"
"Livestock Primary"	"Belgium"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"219839.4"
"Livestock Primary"	"Belgium"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"304487.0"
"Livestock Primary"	"Belize"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"8438.0"
"Livestock Primary"	"Belize"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"8660.0"
"Livestock Primary"	"Benin"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"29356.0"
"Livestock Primary"	"Benin"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"29800.0"
"Livestock Primary"	"Bermuda"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"93.0"
"Livestock Primary"	"Bermuda"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"93.0"
"Livestock Primary"	"Bhutan"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"453.0"
"Livestock Primary"	"Bhutan"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"513.0"
"Livestock Primary"	"Bolivia (Plurinational State of)"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"283658.0"
"Livestock Primary"	"Bolivia (Plurinational State of)"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"285000.0"
