Datatype,Source,Target,Product,Valuetype,Year,Value,
Detailed trade matrix,Australia,Republic of Korea,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Austria,Australia,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Austria,Belgium,Soybeans,Import Quantity (tonnes),2011,1.0,
Detailed trade matrix,Austria,Canada,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Austria,Chile,Soybeans,Import Quantity (tonnes),2011,2.0,
Detailed trade matrix,Austria,China,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Austria,"China, mainland",Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Austria,Croatia,Soybeans,Import Quantity (tonnes),2011,508.0,
Detailed trade matrix,Austria,Czech Republic,Cattle,Import Quantity (Head),2011,51062.0,
Detailed trade matrix,Austria,Czech Republic,Soybeans,Import Quantity (tonnes),2011,102.0,
Detailed trade matrix,Austria,Denmark,Cattle,Import Quantity (Head),2011,21.0,
Detailed trade matrix,Austria,Denmark,Soybeans,Import Quantity (tonnes),2011,1.0,
Detailed trade matrix,Austria,France,Cattle,Import Quantity (Head),2011,5679.0,
Detailed trade matrix,Austria,France,Soybeans,Import Quantity (tonnes),2011,118.0,
Detailed trade matrix,Austria,Germany,Cattle,Import Quantity (Head),2011,2436.0,
Detailed trade matrix,Austria,Germany,Soybeans,Import Quantity (tonnes),2011,6720.0,
Detailed trade matrix,Austria,Greece,Cattle,Import Quantity (Head),2011,29.0,
Detailed trade matrix,Austria,Hungary,Cattle,Import Quantity (Head),2011,4613.0,
Detailed trade matrix,Austria,Hungary,Soybeans,Import Quantity (tonnes),2011,8754.0,
Detailed trade matrix,Austria,Italy,Cattle,Import Quantity (Head),2011,250.0,
Detailed trade matrix,Austria,Italy,Soybeans,Import Quantity (tonnes),2011,66775.0,
Detailed trade matrix,Austria,Netherlands,Cattle,Import Quantity (Head),2011,496.0,
Detailed trade matrix,Austria,Netherlands,Soybeans,Import Quantity (tonnes),2011,3.0,
Detailed trade matrix,Austria,Poland,Soybeans,Import Quantity (tonnes),2011,7.0,
Detailed trade matrix,Austria,Republic of Korea,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Austria,Romania,Cattle,Import Quantity (Head),2011,380.0,
Detailed trade matrix,Austria,Romania,Soybeans,Import Quantity (tonnes),2011,860.0,
Detailed trade matrix,Austria,Serbia,Soybeans,Import Quantity (tonnes),2011,1818.0,
Detailed trade matrix,Austria,Slovakia,Cattle,Import Quantity (Head),2011,16960.0,
Detailed trade matrix,Austria,Slovakia,Soybeans,Import Quantity (tonnes),2011,507.0,
Detailed trade matrix,Austria,Slovenia,Cattle,Import Quantity (Head),2011,20961.0,
Detailed trade matrix,Austria,Slovenia,Soybeans,Import Quantity (tonnes),2011,34.0,
Detailed trade matrix,Austria,Spain,Soybeans,Import Quantity (tonnes),2011,1.0,
Detailed trade matrix,Austria,Switzerland,Cattle,Import Quantity (Head),2011,77.0,
Detailed trade matrix,Austria,Switzerland,Soybeans,Import Quantity (tonnes),2011,27.0,
Detailed trade matrix,Austria,Thailand,Soybeans,Import Quantity (tonnes),2011,4.0,
Detailed trade matrix,Austria,Ukraine,Soybeans,Import Quantity (tonnes),2011,1606.0,
Detailed trade matrix,Austria,United Kingdom,Soybeans,Import Quantity (tonnes),2011,14.0,
Detailed trade matrix,Austria,United States of America,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Azerbaijan,Argentina,Soybeans,Import Quantity (tonnes),2011,1488.0,
Detailed trade matrix,Azerbaijan,Georgia,Cattle,Import Quantity (Head),2011,5159.0,
Detailed trade matrix,Azerbaijan,Germany,Cattle,Import Quantity (Head),2011,1390.0,
Detailed trade matrix,Azerbaijan,Republic of Moldova,Soybeans,Import Quantity (tonnes),2011,1162.0,
Detailed trade matrix,Azerbaijan,Russian Federation,Cattle,Import Quantity (Head),2011,4243.0,
Detailed trade matrix,Azerbaijan,Turkey,Soybeans,Import Quantity (tonnes),2011,12.0,
Detailed trade matrix,Azerbaijan,Ukraine,Soybeans,Import Quantity (tonnes),2011,6549.0,
Detailed trade matrix,Azerbaijan,Unspecified,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Bahrain,Australia,Soybeans,Import Quantity (tonnes),2011,1.0,
Detailed trade matrix,Bahrain,China,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Bahrain,"China, mainland",Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Bahrain,Germany,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Bahrain,India,Soybeans,Import Quantity (tonnes),2011,5492.0,
Detailed trade matrix,Bahrain,Iran (Islamic Republic of),Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Bahrain,Kuwait,Cattle,Import Quantity (Head),2011,5.0,
Detailed trade matrix,Bahrain,Pakistan,Cattle,Import Quantity (Head),2011,160.0,
Detailed trade matrix,Bahrain,Singapore,Soybeans,Import Quantity (tonnes),2011,2.0,
Detailed trade matrix,Bahrain,Somalia,Cattle,Import Quantity (Head),2011,178.0,
Detailed trade matrix,Bahrain,United Arab Emirates,Cattle,Import Quantity (Head),2011,303.0,
Detailed trade matrix,Bahrain,United States of America,Soybeans,Import Quantity (tonnes),2011,9.0,
Detailed trade matrix,Barbados,Canada,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Barbados,United States of America,Cattle,Import Quantity (Head),2011,32.0,
Detailed trade matrix,Barbados,United States of America,Soybeans,Import Quantity (tonnes),2011,25561.0,
Detailed trade matrix,Belarus,China,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Belarus,"China, mainland",Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Belarus,Hungary,Cattle,Import Quantity (Head),2011,458.0,
Detailed trade matrix,Belarus,Italy,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Belarus,Lithuania,Cattle,Import Quantity (Head),2011,658.0,
Detailed trade matrix,Belarus,Republic of Moldova,Soybeans,Import Quantity (tonnes),2011,322.0,
Detailed trade matrix,Belarus,Russian Federation,Cattle,Import Quantity (Head),2011,145.0,
Detailed trade matrix,Belarus,Ukraine,Soybeans,Import Quantity (tonnes),2011,8826.0,
Detailed trade matrix,Belgium,Argentina,Soybeans,Import Quantity (tonnes),2011,1.0,
Detailed trade matrix,Belgium,Austria,Soybeans,Import Quantity (tonnes),2011,2043.0,
Detailed trade matrix,Belgium,Brazil,Soybeans,Import Quantity (tonnes),2011,182108.0,
Detailed trade matrix,Belgium,Canada,Soybeans,Import Quantity (tonnes),2011,163181.0,
Detailed trade matrix,Belgium,China,Soybeans,Import Quantity (tonnes),2011,5131.0,
Detailed trade matrix,Belgium,"China, mainland",Soybeans,Import Quantity (tonnes),2011,5131.0,
Detailed trade matrix,Belgium,Czech Republic,Cattle,Import Quantity (Head),2011,398.0,
Detailed trade matrix,Belgium,Denmark,Cattle,Import Quantity (Head),2011,164.0,
Detailed trade matrix,Belgium,Estonia,Cattle,Import Quantity (Head),2011,5081.0,
Detailed trade matrix,Belgium,France,Cattle,Import Quantity (Head),2011,6296.0,
Detailed trade matrix,Belgium,France,Soybeans,Import Quantity (tonnes),2011,7307.0,
Detailed trade matrix,Belgium,Germany,Cattle,Import Quantity (Head),2011,33390.0,
Detailed trade matrix,Belgium,Germany,Soybeans,Import Quantity (tonnes),2011,2068.0,
Detailed trade matrix,Belgium,Hungary,Soybeans,Import Quantity (tonnes),2011,7088.0,
Detailed trade matrix,Belgium,India,Soybeans,Import Quantity (tonnes),2011,2.0,
Detailed trade matrix,Belgium,Ireland,Cattle,Import Quantity (Head),2011,2244.0,
Detailed trade matrix,Belgium,Ireland,Soybeans,Import Quantity (tonnes),2011,2.0,
Detailed trade matrix,Belgium,Italy,Cattle,Import Quantity (Head),2011,266.0,
Detailed trade matrix,Belgium,Italy,Soybeans,Import Quantity (tonnes),2011,357.0,
Detailed trade matrix,Belgium,Luxembourg,Cattle,Import Quantity (Head),2011,13004.0,
Detailed trade matrix,Belgium,Luxembourg,Soybeans,Import Quantity (tonnes),2011,32.0,
Detailed trade matrix,Belgium,Netherlands,Cattle,Import Quantity (Head),2011,106475.0,
Detailed trade matrix,Belgium,Netherlands,Soybeans,Import Quantity (tonnes),2011,169558.0,
Detailed trade matrix,Belgium,Paraguay,Soybeans,Import Quantity (tonnes),2011,30211.0,
Detailed trade matrix,Belgium,Poland,Cattle,Import Quantity (Head),2011,860.0,
Detailed trade matrix,Belgium,Portugal,Cattle,Import Quantity (Head),2011,194.0,
Detailed trade matrix,Belgium,Serbia,Soybeans,Import Quantity (tonnes),2011,5018.0,
Detailed trade matrix,Belgium,United Kingdom,Cattle,Import Quantity (Head),2011,18.0,
Detailed trade matrix,Belgium,United States of America,Soybeans,Import Quantity (tonnes),2011,1.0,
Detailed trade matrix,Belize,Mexico,Cattle,Import Quantity (Head),2011,179.0,
Detailed trade matrix,Belize,Mexico,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Belize,United States of America,Soybeans,Import Quantity (tonnes),2011,1.0,*
Detailed trade matrix,Bolivia (Plurinational State of),Argentina,Cattle,Import Quantity (Head),2011,71.0,
Detailed trade matrix,Bolivia (Plurinational State of),Argentina,Soybeans,Import Quantity (tonnes),2011,11398.0,
Detailed trade matrix,Bolivia (Plurinational State of),Brazil,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Bolivia (Plurinational State of),China,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Bolivia (Plurinational State of),"China, mainland",Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Bolivia (Plurinational State of),Uruguay,Cattle,Import Quantity (Head),2011,605.0,
Detailed trade matrix,Bosnia and Herzegovina,Canada,Soybeans,Import Quantity (tonnes),2011,5.0,
Detailed trade matrix,Bosnia and Herzegovina,China,Soybeans,Import Quantity (tonnes),2011,1.0,
Detailed trade matrix,Bosnia and Herzegovina,"China, mainland",Soybeans,Import Quantity (tonnes),2011,1.0,
Detailed trade matrix,Bosnia and Herzegovina,Croatia,Cattle,Import Quantity (Head),2011,8448.0,
Detailed trade matrix,Bosnia and Herzegovina,Croatia,Soybeans,Import Quantity (tonnes),2011,13308.0,
Detailed trade matrix,Bosnia and Herzegovina,Czech Republic,Cattle,Import Quantity (Head),2011,2076.0,
Detailed trade matrix,Bosnia and Herzegovina,France,Cattle,Import Quantity (Head),2011,195.0,
Detailed trade matrix,Bosnia and Herzegovina,Germany,Cattle,Import Quantity (Head),2011,418.0,
Detailed trade matrix,Bosnia and Herzegovina,Germany,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Bosnia and Herzegovina,Hungary,Cattle,Import Quantity (Head),2011,54.0,
Detailed trade matrix,Bosnia and Herzegovina,Hungary,Soybeans,Import Quantity (tonnes),2011,2148.0,
Detailed trade matrix,Bosnia and Herzegovina,Italy,Cattle,Import Quantity (Head),2011,22.0,
Detailed trade matrix,Bosnia and Herzegovina,Italy,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Bosnia and Herzegovina,Paraguay,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Bosnia and Herzegovina,Poland,Cattle,Import Quantity (Head),2011,3762.0,
Detailed trade matrix,Bosnia and Herzegovina,Romania,Cattle,Import Quantity (Head),2011,3272.0,
Detailed trade matrix,Bosnia and Herzegovina,Serbia,Cattle,Import Quantity (Head),2011,21799.0,
Detailed trade matrix,Bosnia and Herzegovina,Serbia,Soybeans,Import Quantity (tonnes),2011,6992.0,
Detailed trade matrix,Bosnia and Herzegovina,Slovakia,Cattle,Import Quantity (Head),2011,189.0,
Detailed trade matrix,Bosnia and Herzegovina,Switzerland,Cattle,Import Quantity (Head),2011,9.0,
Detailed trade matrix,Botswana,China,Soybeans,Import Quantity (tonnes),2011,20.0,
Detailed trade matrix,Botswana,"China, Hong Kong SAR",Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Botswana,"China, mainland",Soybeans,Import Quantity (tonnes),2011,20.0,
Detailed trade matrix,Botswana,Malawi,Soybeans,Import Quantity (tonnes),2011,219.0,
Detailed trade matrix,Botswana,Mauritius,Soybeans,Import Quantity (tonnes),2011,6.0,
Detailed trade matrix,Botswana,Namibia,Cattle,Import Quantity (Head),2011,46.0,
Detailed trade matrix,Botswana,Namibia,Soybeans,Import Quantity (tonnes),2011,17.0,
Detailed trade matrix,Botswana,South Africa,Cattle,Import Quantity (Head),2011,1104.0,
Detailed trade matrix,Botswana,South Africa,Soybeans,Import Quantity (tonnes),2011,2432.0,
Detailed trade matrix,Botswana,Zambia,Soybeans,Import Quantity (tonnes),2011,452.0,
Detailed trade matrix,Botswana,Zimbabwe,Soybeans,Import Quantity (tonnes),2011,30.0,
Detailed trade matrix,Brazil,Argentina,Cattle,Import Quantity (Head),2011,22.0,
Detailed trade matrix,Brazil,Argentina,Soybeans,Import Quantity (tonnes),2011,87.0,
Detailed trade matrix,Brazil,Paraguay,Soybeans,Import Quantity (tonnes),2011,40892.0,
Detailed trade matrix,Brazil,United States of America,Soybeans,Import Quantity (tonnes),2011,1.0,
Detailed trade matrix,Brazil,Uruguay,Cattle,Import Quantity (Head),2011,5240.0,
Detailed trade matrix,Bulgaria,Belgium,Soybeans,Import Quantity (tonnes),2011,29.0,
Detailed trade matrix,Bulgaria,Canada,Soybeans,Import Quantity (tonnes),2011,21.0,
Detailed trade matrix,Bulgaria,China,Soybeans,Import Quantity (tonnes),2011,4.0,
Detailed trade matrix,Bulgaria,"China, mainland",Soybeans,Import Quantity (tonnes),2011,4.0,
Detailed trade matrix,Bulgaria,Denmark,Cattle,Import Quantity (Head),2011,472.0,
Detailed trade matrix,Bulgaria,France,Cattle,Import Quantity (Head),2011,100.0,
Detailed trade matrix,Bulgaria,Germany,Cattle,Import Quantity (Head),2011,354.0,
Detailed trade matrix,Bulgaria,Germany,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Bulgaria,Greece,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Bulgaria,Hungary,Cattle,Import Quantity (Head),2011,144.0,
Detailed trade matrix,Bulgaria,Netherlands,Cattle,Import Quantity (Head),2011,388.0,
Detailed trade matrix,Bulgaria,Poland,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Bulgaria,Republic of Korea,Soybeans,Import Quantity (tonnes),2011,1.0,
Detailed trade matrix,Bulgaria,Republic of Moldova,Soybeans,Import Quantity (tonnes),2011,125.0,
Detailed trade matrix,Bulgaria,Romania,Cattle,Import Quantity (Head),2011,119.0,
Detailed trade matrix,Bulgaria,Romania,Soybeans,Import Quantity (tonnes),2011,5868.0,
Detailed trade matrix,Bulgaria,Ukraine,Soybeans,Import Quantity (tonnes),2011,1597.0,
Detailed trade matrix,Burkina Faso,C̫te d'Ivoire,Cattle,Import Quantity (Head),2011,1.0,
Detailed trade matrix,Burkina Faso,France,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Burkina Faso,Mali,Cattle,Import Quantity (Head),2011,0.0,
Detailed trade matrix,Burkina Faso,Niger,Cattle,Import Quantity (Head),2011,31.0,
Detailed trade matrix,Cabo Verde,Brazil,Soybeans,Import Quantity (tonnes),2011,2.0,
Detailed trade matrix,Cabo Verde,China,Soybeans,Import Quantity (tonnes),2011,1.0,
Detailed trade matrix,Cabo Verde,"China, mainland",Soybeans,Import Quantity (tonnes),2011,1.0,
Detailed trade matrix,Cabo Verde,Portugal,Cattle,Import Quantity (Head),2011,10.0,*
Detailed trade matrix,Cabo Verde,Portugal,Soybeans,Import Quantity (tonnes),2011,1.0,
Detailed trade matrix,Cambodia,Malaysia,Soybeans,Import Quantity (tonnes),2011,3.0,
Detailed trade matrix,Cambodia,Thailand,Soybeans,Import Quantity (tonnes),2011,70.0,
Detailed trade matrix,Cambodia,United States of America,Soybeans,Import Quantity (tonnes),2011,2.0,
Detailed trade matrix,Cameroon,China,Soybeans,Import Quantity (tonnes),2011,3.0,
Detailed trade matrix,Cameroon,"China, mainland",Soybeans,Import Quantity (tonnes),2011,3.0,
Detailed trade matrix,Cameroon,India,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Canada,Argentina,Soybeans,Import Quantity (tonnes),2011,42.0,
Detailed trade matrix,Canada,Canada,Cattle,Import Quantity (Head),2011,57.0,
Detailed trade matrix,Canada,Canada,Soybeans,Import Quantity (tonnes),2011,64.0,
Detailed trade matrix,Canada,Chile,Soybeans,Import Quantity (tonnes),2011,1168.0,
Detailed trade matrix,Canada,China,Soybeans,Import Quantity (tonnes),2011,3642.0,
Detailed trade matrix,Canada,"China, Hong Kong SAR",Soybeans,Import Quantity (tonnes),2011,12.0,
Detailed trade matrix,Canada,"China, mainland",Soybeans,Import Quantity (tonnes),2011,3333.0,
Detailed trade matrix,Canada,"China, Taiwan Province of",Soybeans,Import Quantity (tonnes),2011,297.0,
Detailed trade matrix,Canada,Czech Republic,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Canada,Germany,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Canada,India,Soybeans,Import Quantity (tonnes),2011,14218.0,
Detailed trade matrix,Canada,Indonesia,Soybeans,Import Quantity (tonnes),2011,83.0,
Detailed trade matrix,Canada,Iran (Islamic Republic of),Soybeans,Import Quantity (tonnes),2011,3.0,
Detailed trade matrix,Canada,Japan,Soybeans,Import Quantity (tonnes),2011,96.0,
Detailed trade matrix,Canada,Malaysia,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Canada,Mexico,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Canada,Philippines,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Canada,Republic of Korea,Soybeans,Import Quantity (tonnes),2011,14.0,
Detailed trade matrix,Canada,Republic of Moldova,Cattle,Import Quantity (Head),2011,40.0,
Detailed trade matrix,Canada,Sri Lanka,Soybeans,Import Quantity (tonnes),2011,3.0,
Detailed trade matrix,Canada,Thailand,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Canada,Ukraine,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Canada,United Arab Emirates,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Canada,United States of America,Cattle,Import Quantity (Head),2011,73347.0,
Detailed trade matrix,Canada,United States of America,Soybeans,Import Quantity (tonnes),2011,271016.0,
Detailed trade matrix,Canada,Viet Nam,Soybeans,Import Quantity (tonnes),2011,17.0,
Detailed trade matrix,Chile,Argentina,Soybeans,Import Quantity (tonnes),2011,113437.0,
Detailed trade matrix,Chile,Austria,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Chile,Brazil,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Chile,Canada,Soybeans,Import Quantity (tonnes),2011,5.0,
Detailed trade matrix,Chile,Chile,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Chile,China,Soybeans,Import Quantity (tonnes),2011,12.0,
Detailed trade matrix,Chile,"China, mainland",Soybeans,Import Quantity (tonnes),2011,12.0,
Detailed trade matrix,Chile,France,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Chile,India,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Chile,Italy,Soybeans,Import Quantity (tonnes),2011,2.0,
Detailed trade matrix,Chile,Japan,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Chile,Netherlands,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Chile,Paraguay,Soybeans,Import Quantity (tonnes),2011,24937.0,
Detailed trade matrix,Chile,United States of America,Soybeans,Import Quantity (tonnes),2011,119.0,
Detailed trade matrix,Chile,Unspecified,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,China,Argentina,Soybeans,Import Quantity (tonnes),2011,7781861.0,
Detailed trade matrix,China,Australia,Cattle,Import Quantity (Head),2011,55452.0,
Detailed trade matrix,China,Australia,Soybeans,Import Quantity (tonnes),2011,1268.0,
Detailed trade matrix,China,Belgium,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,China,Brazil,Soybeans,Import Quantity (tonnes),2011,2.1612207E7,
Detailed trade matrix,China,Canada,Soybeans,Import Quantity (tonnes),2011,425886.0,
Detailed trade matrix,China,Chile,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,China,Egypt,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,China,Germany,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,China,India,Soybeans,Import Quantity (tonnes),2011,1757.0,
Detailed trade matrix,China,Japan,Soybeans,Import Quantity (tonnes),2011,18.0,
Detailed trade matrix,China,Malaysia,Soybeans,Import Quantity (tonnes),2011,22.0,
Detailed trade matrix,China,Myanmar,Soybeans,Import Quantity (tonnes),2011,88.0,
Detailed trade matrix,China,New Zealand,Cattle,Import Quantity (Head),2011,28272.0,
Detailed trade matrix,China,Paraguay,Soybeans,Import Quantity (tonnes),2011,48025.0,
Detailed trade matrix,China,Republic of Korea,Soybeans,Import Quantity (tonnes),2011,78.0,
Detailed trade matrix,China,Russian Federation,Soybeans,Import Quantity (tonnes),2011,3678.0,
Detailed trade matrix,China,South Africa,Soybeans,Import Quantity (tonnes),2011,22.0,
Detailed trade matrix,China,Thailand,Soybeans,Import Quantity (tonnes),2011,221.0,
Detailed trade matrix,China,Ukraine,Soybeans,Import Quantity (tonnes),2011,6972.0,
Detailed trade matrix,China,United States of America,Soybeans,Import Quantity (tonnes),2011,2.3512591E7,
Detailed trade matrix,China,Uruguay,Cattle,Import Quantity (Head),2011,16777.0,
Detailed trade matrix,China,Uruguay,Soybeans,Import Quantity (tonnes),2011,1431106.0,
Detailed trade matrix,China,Viet Nam,Soybeans,Import Quantity (tonnes),2011,3.0,
Detailed trade matrix,"China, Hong Kong SAR",Canada,Soybeans,Import Quantity (tonnes),2011,30759.0,
Detailed trade matrix,"China, Hong Kong SAR","China, mainland",Cattle,Import Quantity (Head),2011,28912.0,*
Detailed trade matrix,"China, Hong Kong SAR","China, mainland",Soybeans,Import Quantity (tonnes),2011,3897.0,
Detailed trade matrix,"China, Hong Kong SAR",Egypt,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,"China, Hong Kong SAR",Germany,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,"China, Hong Kong SAR",Japan,Soybeans,Import Quantity (tonnes),2011,18.0,
